2mm, 23.739024, 24.286929, 24.286512, 24.288744
3mm, 32.527541, 35.238842, 35.269774, 35.271011
adi, 53.314955, 57.731327, 60.059722, 61.202048
atax, 0.020676, 0.020819, 0.020716, 0.019664
bicg, 0.036224, 0.036272, 0.036311, 0.036239
cholesky, 6.688411, 5.627973, 5.351797, 4.850697
correlation, 23.702423, 24.471962, 24.793276, 24.921960
covariance, 28.427203, 28.837932, 29.850730, 29.885492
deriche, 3.153459, 3.170932, 3.168867, 3.178480
doitgen, 2.779317, 2.790589, 2.843904, 2.931599
durbin, 0.008786, 0.008795, 0.008819, 0.008776
fdtd-2d, 24.201100, 24.300734, 24.338171, 24.355911
floyd-warshall, 111.868574, 112.003697, 112.926186, 113.014128
gemm, 4.823192, 4.821114, 4.825691, 4.830220
gemver, 0.122903, 0.162980, 0.153099, 0.164237
gesummv, 0.015845, 0.015903, 0.015949, 0.015795
gramschmidt, 29.717288, 29.774297, 29.869198, 29.887139
heat-3d, 28.140966, 28.147996, 28.166228, 28.215661
jacobi-1d, 0.003937, 0.003921, 0.003919, 0.003930
jacobi-2d, 11.839557, 11.871562, 11.947312, 12.025736
ludcmp, 36.473247, lu34.351031, 33.149275, 29.777135
lu, 41.083555, 42.648617, 40.599455, 34.718978
mvt, 0.091533,0.089980, 0.086929, 0.086547
nussinov, 23.669795, 23.676950, 23.748552, 24.056749
seidel-2d, 46.769577, 46.781520, 46.793908, 46.824135
symm, 25.845304, 25.883995, 25.919921, 25.926041
syr2k, 19.099675, 19.968626, 20.120279, 20.187853
syrk, 6.746141, 7.004658, 7.303118, 7.406258
trisolv, 0.008162, 0.007801, 0.007252, 0.006459
trmm, 9.438569, 10.498631, 10.525033, 10.569632



