2mm, 122.423162, 123.471963, 126.228582, 126.285456
3mm, 166.347937, 167.092917, 167.210268, 170.799439
adi, 203.847940, 204.480612, 204.524091, 205.310748
atax, 0.162579, 0.163069, 0.162283, 0.162139
bicg, 0.159125, 0.159452, 0.159558, 0.159432
cholesky, 35.792071, 35.178224, 34.860503, 33.969047
correlation, 213.240117, 213.246518, 213.528395, 218.178380
covariance, 213.240117, 213.246518, 213.528395, 218.178380
deriche, 5.665281, 5.672910, 5.688059, 5.727945
doitgen, 14.348675, 14.350709, 14.351157, 14.369868
durbin, 0.036614, 0.037223, 0.037461, 0.038608
fdtd-2d, 96.471466, 96.542172, 96.551644, 96.866384
floyd-warshall, 331.907944, 331.908962, 332.019919, 333.241460
gemm, 40.633000, 40.652238, 40.670280, 40.738071
gemver, 0.943251, 0.949015, 0.948656, 0.954158
gesummv, 0.092679, 0.092705, 0.093081, 0.093389
gramschmidt, 233.450021, 233.995240, 235.292912, 237.640563
heat-3d, 123.975965, 123.981466, 124.022384, 124.533028
jacobi-1d, 0.030828, 0.030815, 0.030822, 0.031420
jacobi-2d, 73.887068, 73.943281, 74.094261, 74.190097
ludcmp, 179.982331, 182.922182, 181.541402, 137.460716
lu, 192.419287, 194.593906, 195.611546, 175.529366
mvt, 0.739177, 0.740376, 0.743414, 0.752962
nussinov, 154.043266, 156.024870, 161.607742, 163.099224
seidel-2d, 130.511696, 130.514211, 130.514218, 130.759703
symm, 121.954782, 124.005922, 124.357235, 126.023015
syr2k, 94.285118, 94.768778, 94.874409, 95.205351
syrk, 40.075413, 40.154266, 40.552496, 40.617362
trisolv, 0.051382, 0.052051, 0.051827, 0.051507
trmm, 57.205730, 57.365955, 58.265709, 59.449531



